title,genre,director1,director2,actor1,actor2,actor3,actor4,box_office,imdb_rating,imdb_votes,yr
Tender and Perverse Emanuelle,Drama- Thriller,JesúsFranco,.,NormaKastel,JackTaylor,LinaRomay,AliceArno,.,3.7,204,1973
Rugantino,Comedy- Romance,PasqualeFestaCampanile,.,AdrianoCelentano,ClaudiaMori,ToniUcci,MariaGraziaSpina,.,6,203,1973
The Slams,Action- Crime- Drama,JonathanKaplan,.,JimBrown,JudyPace,RolandBobHarris,PaulHarris,.,5.9,202,1973
Il delitto Matteotti,Drama,FlorestanoVancini,.,FrancoNero,MarioAdorf,RiccardoCucciolla,DamianoDamiani,.,7,202,1973
Salut l'artiste,Comedy- Drama,YvesRobert,.,MarcelloMastroianni,FrançoiseFabian,JeanRochefort,EvelyneBuyle,.,6.1,200,1973
Forbidden Priests,Drama- Romance- War,DenysdeLaPatellière,.,RobertHossein,ClaudeJade,PierreMondy,ClaudePiéplu,.,5,198,1973
The Roommates,Crime- Drama- Thriller,ArthurMarks,.,MarkiBey,PatWoodell,RobertaCollins,LaurieRose,.,5.6,197,1973
Naakt over de schutting,Thriller,FransWeisz,.,RijkdeGooyer,JenniferWillems,JonBluming,AdèleBloemendaal,.,5.4,197,1973
Little Cigars,Comedy- Crime- Drama,ChrisChristenberry,.,AngelTompkins,BillyCurtis,JerryMaren,FrankDelfino,.,5.3,195,1973
Robinson Crusoe,Adventure,StanislavGovorukhin,.,LeonidKuravlyov,IrakliKhizanishvili,EvgeniyZharikov,AlekseySafonov,.,6.6,192,1973
Sovsem propashchiy,Adventure,GeorgiyDaneliya,.,RomanMadyanov,FeliksImokuede,EvgeniyLeonov,VakhtangKikabidze,.,7.1,191,1973
Massage Parlor Murders!,Crime- Mystery- Thriller,ChesterFox,AlexStevens,GeorgeSpencer,SandraPeabody,JohnMoser,AnneGaybis,1045876,5,190,1973
The Student Teachers,Comedy- Thriller,JonathanKaplan,.,SusanDamante,BrookeMills,BrendaSutton,JohnnyRayMcGhee,.,4.9,190,1973
Ace Eli and Rodger of the Skies,Drama,JohnErman,.,CliffRobertson,PamelaFranklin,EricShea,RosemaryMurphy,.,4.8,190,1973
Gawain and the Green Knight,Adventure- Fantasy,StephenWeeks,.,MurrayHead,CiaranMadden,NigelGreen,AnthonySharp,.,5.8,189,1973
Don't Play Us Cheap,Comedy- Musical- Romance,MelvinVanPeebles,.,ThomasAnderson,JayVanLeer,RobertDunn,MabelKing,.,5.3,189,1973
La mort d'un bûcheron,Drama,GillesCarle,.,CaroleLaure,WillieLamothe,DanielPilon,PaulineJulien,.,7,188,1973
