title,genre,director1,director2,actor1,actor2,actor3,actor4,box_office,imdb_rating,imdb_votes,yr
Psycho,Horror- Mystery- Thriller,AlfredHitchcock,.,AnthonyPerkins,JanetLeigh,VeraMiles,JohnGavin,32000000,8.5,546934,1960
The Apartment,Comedy- Drama- Romance,BillyWilder,.,JackLemmon,ShirleyMacLaine,FredMacMurray,RayWalston,18600000,8.3,146795,1960
Spartacus,Adventure- Biography- Drama,StanleyKubrick,.,KirkDouglas,LaurenceOlivier,JeanSimmons,CharlesLaughton,30000000,7.9,114530,1960
The Magnificent Seven,Action- Adventure- Western,JohnSturges,.,YulBrynner,SteveMcQueen,CharlesBronson,EliWallach,4905000,7.7,81719,1960
Breathless,Crime- Drama,Jean-LucGodard,.,Jean-PaulBelmondo,JeanSeberg,DanielBoulanger,Henri-JacquesHuet,336705,7.9,65493,1960
La Dolce Vita,Comedy- Drama,FedericoFellini,.,MarcelloMastroianni,AnitaEkberg,AnoukAimée,YvonneFurneaux,19516000,8,59710,1960
The Time Machine,Adventure- Romance- Sci-Fi,GeorgePal,.,RodTaylor,AlanYoung,YvetteMimieux,SebastianCabot,.,7.6,33401,1960
Peeping Tom,Drama- Horror- Thriller,MichaelPowell,.,KarlheinzBöhm,AnnaMassey,MoiraShearer,MaxineAudley,83957,7.7,27378,1960
Inherit the Wind,Biography- Drama- History,StanleyKramer,.,SpencerTracy,FredricMarch,GeneKelly,DickYork,.,8.1,24901,1960
The Virgin Spring,Drama,IngmarBergman,.,MaxvonSydow,BirgittaValberg,GunnelLindblom,BirgittaPettersson,1526000,8.1,24024,1960
L'Avventura,Drama- Mystery,MichelangeloAntonioni,.,GabrieleFerzetti,MonicaVitti,LeaMassari,DominiqueBlanchar,.,7.9,23321,1960
Les yeux sans visage,Drama- Horror,GeorgesFranju,.,PierreBrasseur,AlidaValli,JulietteMayniel,AlexandreRignault,52709,7.7,23202,1960
Ocean's 11,Comedy- Crime- Music,LewisMilestone,.,FrankSinatra,DeanMartin,SammyDavisJr.,PeterLawford,12317000,6.6,18443,1960
Shoot the Piano Player,Crime- Drama- Thriller,FrançoisTruffaut,.,CharlesAznavour,MarieDubois,NicoleBerger,MichèleMercier,.,7.5,15670,1960
The Little Shop of Horrors,Comedy- Horror,RogerCorman,CharlesB.Griffith,JonathanHaze,JackieJoseph,MelWelles,DickMiller,1400000,6.3,14783,1960
Rocco and His Brothers,Crime- Drama- Sport,LuchinoVisconti,.,AlainDelon,RenatoSalvatori,AnnieGirardot,ClaudiaCardinale,.,8.3,14595,1960
Village of the Damned,Horror- Sci-Fi,WolfRilla,.,GeorgeSanders,BarbaraShelley,MichaelGwynn,LaurenceNaismith,.,7.3,13579,1960
The Alamo,Adventure- Drama- History,JohnWayne,.,JohnWayne,RichardWidmark,LaurenceHarvey,FrankieAvalon,17262932,6.9,13315,1960
Le Trou,Crime- Drama- Thriller,JacquesBecker,.,AndréBervil,JeanKeraudy,MichelConstantin,PhilippeLeroy,33187,8.5,13049,1960
Swiss Family Robinson,Adventure- Family,KenAnnakin,.,JohnMills,DorothyMcGuire,JamesMacArthur,JanetMunro,40356000,7.2,12417,1960
Black Sunday,Horror,MarioBava,.,BarbaraSteele,JohnRichardson,AndreaChecchi,IvoGarrani,.,7.2,12182,1960
Purple Noon,Crime- Drama- Thriller,RenéClément,.,AlainDelon,MauriceRonet,MarieLaforêt,ErnoCrisa,618090,7.8,12109,1960
House of Usher,Drama- Horror,RogerCorman,.,VincentPrice,MarkDamon,MyrnaFahey,HarryEllerbe,.,7,10707,1960
The Bad Sleep Well,Crime- Drama- Thriller,AkiraKurosawa,.,ToshirôMifune,MasayukiMori,KyôkoKagawa,TatsuyaMihashi,.,8.1,9674,1960
Elmer Gantry,Drama,RichardBrooks,.,BurtLancaster,JeanSimmons,ArthurKennedy,DeanJagger,11336000,7.8,9375,1960
Exodus,Action- Drama- History,OttoPreminger,.,PaulNewman,EvaMarieSaint,RalphRichardson,PeterLawford,18966000,6.7,8242,1960
Two Women,Drama- War,VittorioDeSica,.,SophiaLoren,Jean-PaulBelmondo,RafVallone,EleonoraBrown,.,7.8,8225,1960
Pollyanna,Comedy- Drama- Family,DavidSwift,.,JaneWyman,HayleyMills,RichardEgan,KarlMalden,.,7.3,8176,1960
Saturday Night and Sunday Morning,Drama- Romance,KarelReisz,.,AlbertFinney,ShirleyAnneField,RachelRoberts,HyldaBaker,.,7.6,6940,1960
The Unforgiven,Drama- Romance- Western,JohnHuston,.,BurtLancaster,AudreyHepburn,AudieMurphy,JohnSaxon,.,6.7,6645,1960
North to Alaska,Comedy- Romance- Western,HenryHathaway,.,JohnWayne,StewartGranger,ErnieKovacs,Fabian,.,7,6441,1960
Sink the Bismarck!,Action- Drama- History,LewisGilbert,.,KennethMore,DanaWynter,CarlMöhner,LaurenceNaismith,6540000,7.1,6371,1960
Mughal-E-Azam,Drama- Romance- War,K.Asif,.,PrithvirajKapoor,Madhubala,DilipKumar,DurgaKhote,161434,8.3,6337,1960
Let's Make Love,Comedy- Musical- Romance,GeorgeCukor,.,MarilynMonroe,YvesMontand,TonyRandall,FrankieVaughan,6540000,6.5,6129,1960
The Brides of Dracula,Horror,TerenceFisher,.,PeterCushing,MartitaHunt,YvonneMonlaur,FredaJackson,.,6.7,6013,1960
The City of the Dead,Horror- Mystery- Thriller,JohnLlewellynMoxey,.,PatriciaJessel,DennisLotis,ChristopherLee,TomNaylor,.,6.8,5276,1960
BUtterfield 8,Drama,DanielMann,.,ElizabethTaylor,LaurenceHarvey,EddieFisher,DinaMerrill,16462599,6.4,5225,1960
The Fugitive Kind,Drama- Romance,SidneyLumet,.,MarlonBrando,JoanneWoodward,AnnaMagnani,MaureenStapleton,.,7.2,4916,1960
Zazie dans le Métro,Comedy- Fantasy,LouisMalle,.,CatherineDemongeot,PhilippeNoiret,HubertDeschamps,CarlaMarlier,.,7,4833,1960
Never on Sunday,Comedy- Drama- Romance,JulesDassin,.,MelinaMercouri,JulesDassin,GiorgosFoundas,TitosVandis,.,7.3,4741,1960
13 Ghosts,Horror,WilliamCastle,.,CharlesHerbert,JoMorrow,MartinMilner,RosemaryDeCamp,.,6.1,4698,1960
The Naked Island,Drama,KanetoShindô,.,NobukoOtowa,TaijiTonoyama,ShinjiTanaka,MasanoriHorimoto,.,8.2,4389,1960
Wild River,Drama- History- Romance,EliaKazan,.,MontgomeryClift,LeeRemick,JoVanFleet,AlbertSalmi,.,7.6,4315,1960
Midnight Lace,Drama- Mystery- Thriller,DavidMiller,.,DorisDay,RexHarrison,JohnGavin,MyrnaLoy,7400000,6.8,4154,1960
The Grass Is Greener,Comedy- Drama- Romance,StanleyDonen,.,CaryGrant,DeborahKerr,RobertMitchum,JeanSimmons,6000000,6.5,4133,1960
Late Autumn,Comedy- Drama,YasujirôOzu,.,SetsukoHara,YôkoTsukasa,MarikoOkada,KeijiSada,.,8.1,3857,1960
Please Don't Eat the Daisies,Comedy- Family- Romance,CharlesWalters,.,DorisDay,DavidNiven,JanisPaige,SpringByington,11100000,6.5,3737,1960
Sergeant Rutledge,Crime- Western,JohnFord,.,JeffreyHunter,WoodyStrode,ConstanceTowers,BillieBurke,.,7.4,3563,1960
The Bellboy,Comedy,JerryLewis,.,JerryLewis,AlexGerry,BobClayton,SonnieSands,.,6.5,3513,1960
The Sundowners,Drama- Adventure,FredZinnemann,.,DeborahKerr,RobertMitchum,PeterUstinov,GlynisJohns,.,7.1,3508,1960
The Spider's Web,Horror,FritzBöttger,.,HaraldMaresch,HelgaFranck,AlexanderD'Arcy,HelgaNeuner,.,2.5,3416,1960
The League of Gentlemen,Comedy- Crime- Thriller,BasilDearden,.,JackHawkins,NigelPatrick,RogerLivesey,RichardAttenborough,.,7.3,3360,1960
When a Woman Ascends the Stairs,Drama,MikioNaruse,.,HidekoTakamine,TatsuyaNakadai,MasayukiMori,ReikoDan,.,8.1,3270,1960
The Lost World,Adventure- Fantasy- Sci-Fi,IrwinAllen,.,MichaelRennie,JillSt.John,DavidHedison,ClaudeRains,.,5.5,3214,1960
Tunes of Glory,Drama,RonaldNeame,.,AlecGuinness,JohnMills,SusannahYork,DennisPrice,.,7.5,3154,1960
The Devil's Eye,Comedy- Drama- Fantasy,IngmarBergman,.,JarlKulle,BibiAndersson,StigJärrel,NilsPoppe,.,7.2,3136,1960
Babes in Toyland,Comedy- Family- Fantasy,JackDonohue,.,RayBolger,TommySands,AnnetteFunicello,EdWynn,10218316,6.3,3038,1960
Hell,Drama- Horror,NobuoNakagawa,.,ShigeruAmachi,UtakoMitsuya,YôichiNumata,HiroshiHayashi,.,6.8,2980,1960
G.I. Blues,Comedy- Musical,NormanTaurog,.,ElvisPresley,JulietProwse,RobertIvers,JamesDouglas,4300000,6.2,2957,1960
School for Scoundrels,Comedy,RobertHamer,HalE.Chester,IanCarmichael,Terry-Thomas,AlastairSim,JanetteScott,.,7.4,2890,1960
Comanche Station,Drama- Western,BuddBoetticher,.,RandolphScott,NancyGates,ClaudeAkins,SkipHomeier,.,7,2809,1960
Classe Tous Risques,Crime- Drama- Romance,ClaudeSautet,.,LinoVentura,SandraMilo,Jean-PaulBelmondo,MarcelDalio,94552,7.5,2761,1960
Cinderfella,Comedy- Family- Fantasy,FrankTashlin,.,JerryLewis,EdWynn,JudithAnderson,HenrySilva,4700000,6,2757,1960
Flaming Star,Western,DonSiegel,.,ElvisPresley,BarbaraEden,SteveForrest,DoloresdelRio,900000,6.5,2745,1960
Letter Never Sent,Adventure- Drama,MikhailKalatozov,.,InnokentiySmoktunovskiy,TatyanaSamoylova,VasiliyLivanov,EvgeniyUrbanskiy,.,7.9,2668,1960
Home from the Hill,Drama- Romance,VincenteMinnelli,.,RobertMitchum,EleanorParker,GeorgePeppard,GeorgeHamilton,2184558,7.4,2659,1960
The Entertainer,Drama,TonyRichardson,.,LaurenceOlivier,BrendadeBanzie,RogerLivesey,JoanPlowright,.,7.1,2657,1960
Hanyo,Crime- Drama- Thriller,Ki-youngKim,.,JinKyuKim,Jeung-nyeoJu,Eun-shimLee,Aeng-ranEom,.,7.3,2610,1960
Bells Are Ringing,Comedy- Musical- Romance,VincenteMinnelli,.,JudyHolliday,DeanMartin,FredClark,EddieFoyJr.,.,7,2595,1960
The 1000 Eyes of Dr. Mabuse,Crime- Mystery- Thriller,FritzLang,.,DawnAddams,PetervanEyck,GertFröbe,WolfgangPreiss,.,7,2577,1960
Testament of Orpheus,Biography,JeanCocteau,.,JeanCocteau,FrançoiseArnoul,ClaudineAuger,CharlesAznavour,.,7.3,2420,1960
La Vérité,Drama,Henri-GeorgesClouzot,.,BrigitteBardot,PaulMeurisse,CharlesVanel,SamiFrey,.,7.6,2399,1960
Cimarron,Drama- Romance- Western,AnthonyMann,CharlesWalters,GlennFord,MariaSchell,AnneBaxter,ArthurO'Connell,.,6.4,2383,1960
First Spaceship on Venus,Sci-Fi,KurtMaetzig,.,YôkoTani,OldrichLukes,IgnacyMachowski,JuliusOngewe,.,4.5,2355,1960
From the Terrace,Drama- Romance,MarkRobson,.,PaulNewman,JoanneWoodward,MyrnaLoy,InaBalin,11336000,6.7,2280,1960
The Young One,Drama,LuisBuñuel,.,ZacharyScott,BernieHamilton,KeyMeersman,CrahanDenton,.,7.5,2258,1960
Les Bonnes Femmes,Drama- Mystery- Romance,ClaudeChabrol,.,BernadetteLafont,ClotildeJoano,StéphaneAudran,LucileSaint-Simon,6578,7.5,2173,1960
Where the Boys Are,Comedy- Drama- Romance,HenryLevin,.,DoloresHart,GeorgeHamilton,YvetteMimieux,JimHutton,.,6.7,2156,1960
The 3 Worlds of Gulliver,Adventure- Family- Fantasy,JackSher,.,KerwinMathews,JoMorrow,JuneThorburn,LeePatterson,.,6.5,2148,1960
The Two Faces of Dr. Jekyll,Horror,TerenceFisher,.,PaulMassie,DawnAddams,ChristopherLee,DavidKossoff,.,6.3,2128,1960
It Started in Naples,Comedy- Drama,MelvilleShavelson,.,ClarkGable,SophiaLoren,VittorioDeSica,Marietto,.,6.4,2128,1960
Macario,Drama- Fantasy- Mystery,RobertoGavaldón,.,IgnacioLópezTarso,PinaPellicer,EnriqueLucero,MarioAlbertoRodríguez,.,8.3,2109,1960
The World of Suzie Wong,Drama- Romance,RichardQuine,.,WilliamHolden,NancyKwan,SylviaSyms,MichaelWilding,7300000,7.1,1981,1960
The Cloud-Capped Star,Drama- Musical,RitwikGhatak,.,SupriyaChoudhury,AnilChatterjee,GyaneshMukherjee,BijonBhattacharya,.,8,1957,1960
The Amazing Transparent Man,Sci-Fi,EdgarG.Ulmer,.,MargueriteChapman,DouglasKennedy,JamesGriffith,IvanTriesault,.,3.9,1943,1960
Carry on Constable,Comedy,GeraldThomas,.,SidneyJames,KennethWilliams,EricBarker,KennethConnor,.,6.3,1939,1960
Tormented,Horror- Thriller,BertI.Gordon,.,RichardCarlson,SusanGordon,LugeneSanders,JuliReding,.,4.5,1934,1960
Can-Can,Comedy- Musical,WalterLang,.,FrankSinatra,ShirleyMacLaine,MauriceChevalier,LouisJourdan,.,6.3,1847,1960
Seishun zankoku monogatari,Crime- Drama,NagisaÔshima,.,MiyukiKuwano,YûsukeKawazu,YoshikoKuga,FumioWatanabe,.,7,1797,1960
The Devil at 4 O'Clock,Adventure- Drama- Thriller,MervynLeRoy,.,SpencerTracy,FrankSinatra,KerwinMathews,Jean-PierreAumont,.,6.4,1754,1960
The Wackiest Ship in the Army,Comedy- Drama- War,RichardMurphy,.,JackLemmon,RickyNelson,JohnLund,ChipsRafferty,.,6.3,1727,1960
The Last Voyage,Drama,AndrewL.Stone,.,RobertStack,DorothyMalone,GeorgeSanders,EdmondO'Brien,.,6.6,1703,1960
Kapò,Drama- War,GilloPontecorvo,.,SusanStrasberg,LaurentTerzieff,EmmanuelleRiva,DidiPerego,.,7.7,1701,1960
Strangers When We Meet,Drama- Romance,RichardQuine,.,KirkDouglas,KimNovak,ErnieKovacs,BarbaraRush,.,7.1,1700,1960
Two Way Stretch,Comedy- Crime,RobertDay,.,PeterSellers,DavidLodge,BernardCribbins,WilfridHyde-White,.,7,1674,1960
Devi,Drama,SatyajitRay,.,SharmilaTagore,SoumitraChatterjee,ChhabiBiswas,KarunaBannerjee,93215,7.8,1674,1960
Komisario Palmun erehdys,Comedy- Crime- Mystery,MattiKassila,.,JoelRinne,ElinaPohjanpää,MattiRanin,LeoRiuttu,.,7.9,1651,1960
Last Woman on Earth,Drama- Horror- Mystery,RogerCorman,.,BetsyJones-Moreland,AntonyCarbone,RobertTowne,.,.,4.8,1575,1960
The Savage Innocents,Adventure- Crime- Drama,NicholasRay,.,AnthonyQuinn,YôkoTani,PeterO'Toole,CarloGiustini,.,6.9,1551,1960
The Millionairess,Comedy- Drama- Romance,AnthonyAsquith,.,SophiaLoren,PeterSellers,AlastairSim,VittorioDeSica,.,5.5,1545,1960
Black Cross,Adventure- Drama- History,AleksanderFord,.,UrszulaModrzynska,GrazynaStaniszewska,AndrzejSzalawski,HenrykBorowski,.,6.8,1532,1960
The Leech Woman,Horror- Romance- Sci-Fi,EdwardDein,.,ColeenGray,GrantWilliams,PhillipTerry,GloriaTalbott,.,4.5,1504,1960
The Flesh and the Fiends,Crime- Drama- Horror,JohnGilling,.,PeterCushing,JuneLaverick,DonaldPleasence,GeorgeRose,.,7,1347,1960
Circus of Horrors,Horror- Drama,SidneyHayers,.,AntonDiffring,ErikaRemberg,YvonneMonlaur,DonaldPleasence,.,6.2,1341,1960
Atom Age Vampire,Horror- Sci-Fi,AntonGiulioMajano,.,AlbertoLupo,SusanneLoret,SergioFantoni,FrancaParisi,.,3.8,1317,1960
The Gallant Hours,Biography- Drama- War,RobertMontgomery,.,JamesCagney,DennisWeaver,WardCostello,VaughnTaylor,.,7.1,1274,1960
The Sinister Urge,Crime- Drama- Thriller,EdwardD.WoodJr.,.,KenneDuncan,DukeMoore,JeanFontaine,CarlAnthony,.,2.6,1265,1960
The Adventures of Huckleberry Finn,Adventure- Comedy- Drama,MichaelCurtiz,.,TonyRandall,EddieHodges,ArchieMoore,PattyMcCormack,.,6.3,1224,1960
Sons and Lovers,Drama,JackCardiff,.,TrevorHoward,DeanStockwell,WendyHiller,MaryUre,.,7.1,1183,1960
Kidnapped,Action- Adventure- Drama,RobertStevenson,.,PeterFinch,JamesMacArthur,BernardLee,JohnLaurie,.,6.6,1178,1960
Il mulino delle donne di pietra,Horror- Sci-Fi,GiorgioFerroni,.,PierreBrice,ScillaGabel,WolfgangPreiss,DanyCarrel,.,6.6,1163,1960
Bell' Antonio,Comedy- Drama,MauroBolognini,.,MarcelloMastroianni,ClaudiaCardinale,PierreBrasseur,RinaMorelli,.,7.4,1148,1960
The Facts of Life,Drama- Romance- Comedy,MelvinFrank,.,BobHope,LucilleBall,RuthHussey,DonDeFore,.,6.5,1131,1960
Portrait in Black,Crime- Drama- Mystery,MichaelGordon,.,LanaTurner,AnthonyQuinn,RichardBasehart,SandraDee,.,6.5,1109,1960
Murder Inc.,Biography- Crime- Drama,BurtBalaban,StuartRosenberg,StuartWhitman,MayBritt,HenryMorgan,PeterFalk,.,6.6,1104,1960
Heller in Pink Tights,Action- Comedy- Romance,GeorgeCukor,.,SophiaLoren,AnthonyQuinn,MargaretO'Brien,SteveForrest,.,6,1102,1960
Seven Thieves,Crime- Drama,HenryHathaway,.,EdwardG.Robinson,RodSteiger,JoanCollins,EliWallach,.,6.5,1091,1960
Who Was That Lady?,Comedy- Romance,GeorgeSidney,.,TonyCurtis,DeanMartin,JanetLeigh,JamesWhitmore,.,6.7,1073,1960
Dinosaurus!,Adventure- Comedy- Fantasy,IrvinS.YeaworthJr.,.,WardRamsey,PaulLukather,KristinaHanson,AlanRoberts,.,5.1,1069,1960
Concrete Jungle,Crime- Drama- Thriller,JosephLosey,.,StanleyBaker,SamWanamaker,GrégoireAslan,MargitSaad,.,6.9,1068,1960
The Angry Silence,Drama,GuyGreen,.,RichardAttenborough,PierAngeli,MichaelCraig,BernardLee,.,7.2,1062,1960
The Battle of the Sexes,Comedy,CharlesCrichton,.,PeterSellers,RobertMorley,ConstanceCummings,JamesonClark,.,6.7,1047,1960
Ta kitrina gantia,Comedy,AlekosSakellarios,.,NikosStavridis,MimisFotopoulos,MaroKodou,MarthaVourtsi,.,7.7,1044,1960
Il vigile,Comedy,LuigiZampa,.,AlbertoSordi,VittorioDeSica,MarisaMerlini,MaraBerni,.,7.3,1034,1960
The Great Impostor,Comedy- Drama,RobertMulligan,.,TonyCurtis,KarlMalden,EdmondO'Brien,ArthurO'Connell,.,7,1032,1960
Visit to a Small Planet,Comedy- Sci-Fi,NormanTaurog,.,JerryLewis,JoanBlackman,EarlHolliman,FredClark,.,6.1,1015,1960
Beyond the Time Barrier,Romance- Sci-Fi,EdgarG.Ulmer,.,RobertClarke,DarleneTompkins,ArianneUlmer,VladimirSokoloff,.,5.3,1013,1960
Cash McCall,Drama- Romance,JosephPevney,.,JamesGarner,NatalieWood,NinaFoch,DeanJagger,.,6.4,1013,1960
Blood and Roses,Drama- Horror- Romance,RogerVadim,.,MelFerrer,ElsaMartinelli,AnnetteStroyberg,AlbertoBonucci,.,6.6,1008,1960
Sunrise at Campobello,Biography- Drama,VincentJ.Donehue,.,RalphBellamy,GreerGarson,HumeCronyn,JeanHagen,.,7,1002,1960
The Rat Race,Comedy- Drama- Romance,RobertMulligan,.,TonyCurtis,DebbieReynolds,JackOakie,KayMedford,.,6.7,969,1960
Never Let Go,Crime- Drama- Thriller,JohnGuillermin,.,RichardTodd,PeterSellers,ElizabethSellars,AdamFaith,.,7.1,969,1960
Sword of Sherwood Forest,Adventure- Drama- History,TerenceFisher,.,RichardGreene,PeterCushing,NiallMacGinnis,RichardPasco,.,6,965,1960
Niewinni czarodzieje,Drama- Music- Romance,AndrzejWajda,.,TadeuszLomnicki,KrystynaStypulkowska,WandaKoczeska,KalinaJedrusik,.,7.4,953,1960
12 to the Moon,Sci-Fi,DavidBradley,.,KenClark,MichiKobi,TomConway,AnthonyDexter,.,3,943,1960
Hell to Eternity,Biography- Drama- War,PhilKarlson,.,JeffreyHunter,DavidJanssen,VicDamone,PatriciaOwens,.,7,937,1960
Never Take Sweets from a Stranger,Drama- Horror- Mystery,CyrilFrankel,.,GwenWatford,PatrickAllen,FelixAylmer,NiallMacGinnis,.,7.3,930,1960
Madalena,Comedy- Drama- Musical,DinosDimopoulos,.,AlikiVougiouklaki,DimitrisPapamichael,PantelisZervos,ThodorosMoridis,.,6.6,920,1960
Make Mine Mink,Comedy,RobertAsher,.,Terry-Thomas,AtheneSeyler,HattieJacques,BillieWhitelaw,.,7.1,915,1960
The Story of Ruth,Drama- History- Romance,HenryKoster,.,StuartWhitman,TomTryon,PeggyWood,VivecaLindfors,.,6.7,902,1960
The Loves of Hercules,Fantasy- Adventure,CarloLudovicoBragaglia,.,JayneMansfield,MickeyHargitay,MassimoSerato,TinaGloriani,.,3,898,1960
Zezowate szczescie,Comedy,AndrzejMunk,.,BogumilKobiela,MariaCiesielska,HelenaDabrowska,BarbaraLass,.,7.6,897,1960
The Baroness from the Gas Station,Comedy- Romance,AnneliseReenberg,.,MariaGarland,GhitaNørby,DirchPasser,OveSprogøe,.,7,894,1960
The Beatniks,Crime,PaulFrees,.,TonyTravis,KarenKadler,PeterBreck,JoyceTerry,.,2.3,859,1960
Hell Is a City,Crime- Thriller,ValGuest,.,StanleyBaker,JohnCrawford,DonaldPleasence,MaxineAudley,.,7.1,846,1960
The Rise and Fall of Legs Diamond,Crime- History,BuddBoetticher,.,RayDanton,KarenSteele,ElaineStewart,JesseWhite,.,6.8,844,1960
The Lady with the Dog,Drama- Romance,IosifKheifits,.,IyaSavvina,AlekseyBatalov,NinaAlisova,GalinaBarysheva,.,7.4,839,1960
Everybody Go Home!,Comedy- Drama- War,LuigiComencini,.,AlbertoSordi,SergeReggiani,CarlaGravina,MartinBalsam,.,7.7,837,1960
Makrykostaioi kai Kondogiorgides,Comedy,AlekosSakellarios,.,DinosIliopoulos,KostasHatzihristos,PantelisZervos,LavrentisDianellos,.,7.6,825,1960
The Girl in Lovers Lane,Crime- Drama- Romance,CharlesR.Rondeau,.,BrettHalsey,JoyceMeadows,LowellBrown,JackElam,.,2.7,808,1960
El cochecito,Comedy- Drama,MarcoFerreri,.,JoséIsbert,PedroPorcel,JoséLuisLópezVázquez,MaríaLuisaPonte,.,7.4,800,1960
Toby Tyler or Ten Weeks with a Circus,Drama- Family,CharlesBarton,.,KevinCorcoran,HenryCalvin,GeneSheldon,BobSweeney,.,7,780,1960
Wild for Kicks,Drama,EdmondT.Gréville,.,DavidFarrar,NoëlleAdam,ChristopherLee,GillianHills,.,6,776,1960
Pepe,Comedy- Musical,GeorgeSidney,.,Cantinflas,DanDailey,ShirleyJones,CarlosMontalbán,9600000,5.6,759,1960
Tall Story,Comedy- Sport,JoshuaLogan,.,AnthonyPerkins,JaneFonda,RayWalston,MarcConnelly,12000000,6,746,1960
The Trials of Oscar Wilde,Biography- Drama- History,KenHughes,.,PeterFinch,YvonneMitchell,JamesMason,NigelPatrick,.,7.1,724,1960
Ishayat hub,Comedy- Romance,FatinAbdulwahhab,.,OmarSharif,SuadHusni,YusufWahbi,EhsanSherif,.,7.9,718,1960
Assignment: Outer Space,Sci-Fi,AntonioMargheriti,.,RikVanNutter,GabriellaFarinon,DavidMontresor,ArchieSavage,.,3.5,717,1960
Take Aim at the Police Van,Action- Crime- Mystery,SeijunSuzuki,.,MichitarôMizushima,MisakoWatanabe,ShôichiOzawa,ShinsukeAshida,.,6.7,714,1960
The Bulldog Breed,Comedy,RobertAsher,.,NormanWisdom,IanHunter,DavidLodge,RobertUrquhart,.,6.3,701,1960
All the Fine Young Cannibals,Drama- Music- Romance,MichaelAnderson,VincenteMinnelli,RobertWagner,NatalieWood,SusanKohner,GeorgeHamilton,.,6.1,690,1960
Taiyô no hakaba,Action- Crime,NagisaÔshima,.,KayokoHonoo,KôjiNakahara,MasahikoTsugawa,FumioWatanabe,.,7.1,677,1960
A Breath of Scandal,Drama- Comedy- Romance,MichaelCurtiz,.,SophiaLoren,MauriceChevalier,JohnGavin,AngelaLansbury,.,5.5,671,1960
Adua e le compagne,Comedy- Drama,AntonioPietrangeli,.,SimoneSignoret,MarcelloMastroianni,SandraMilo,EmmanuelleRiva,.,7.5,666,1960
Seven Ways from Sundown,Action- Adventure- Drama,HarryKeller,.,AudieMurphy,BarrySullivan,VenetiaStevenson,JohnMcIntire,.,6.9,663,1960
The Day They Robbed the Bank of England,Crime- Drama- Thriller,JohnGuillermin,.,AldoRay,ElizabethSellars,PeterO'Toole,KieronMoore,.,6.6,663,1960
The Mountain Road,Drama- War,DanielMann,.,JamesStewart,LisaLu,GlennCorbett,HarryMorgan,.,6.3,659,1960
The Warped Ones,Action- Crime,KoreyoshiKurahara,.,TamioKawaji,YukoChiyo,EijiGô,HiroyukiNagato,.,7,658,1960
The Pure Hell of St. Trinian's,Comedy,FrankLaunder,.,CecilParker,GeorgeCole,JoyceGrenfell,EricBarker,.,6.2,648,1960
Skeleton of Mrs. Morales,Comedy- Crime- Horror,RogelioA.González,.,ArturodeCórdova,AmparoRivelles,EldaPeralta,GuillermoOrea,.,8.1,644,1960
Hell Bent for Leather,Western,GeorgeSherman,.,AudieMurphy,FeliciaFarr,StephenMcNally,RobertMiddleton,.,6.8,642,1960
The Dark at the Top of the Stairs,Drama,DelbertMann,.,RobertPreston,DorothyMcGuire,EveArden,AngelaLansbury,.,7.1,635,1960
Moderato cantabile,Drama,PeterBrook,.,JeanneMoreau,Jean-PaulBelmondo,PascaledeBoysson,JeanDeschamps,.,6.8,609,1960
Risate di gioia,Comedy- Drama,MarioMonicelli,.,AnnaMagnani,Totò,BenGazzara,FredClark,30791,7.3,589,1960
The Hypnotic Eye,Horror,GeorgeBlair,.,JacquesBergerac,MerryAnders,MarciaHenderson,AllisonHayes,.,5.8,577,1960
The Wild Ride,Crime- Drama,HarveyBerman,.,JackNicholson,GeorgiannaCarter,RobertBean,CarolBigby,.,4.4,576,1960
Tarzan the Magnificent,Action- Adventure,RobertDay,.,GordonScott,JockMahoney,BettaSt.John,JohnCarradine,.,6.7,573,1960
Captain Blood,Action- Adventure,AndréHunebelle,.,JeanMarais,Bourvil,ElsaMartinelli,PierretteBruno,.,6.3,569,1960
Priklyucheniya Buratino,Family- Adventure- Animation,DmitriyBabichenko,IvanIvanov-Vano,NinaGulyaeva,EvgeniyVesnik,GeorgiyVitsin,TamaraDmitrieva,.,7.4,567,1960
The Crowded Sky,Action- Adventure- Drama,JosephPevney,.,DanaAndrews,RhondaFleming,EfremZimbalistJr.,JohnKerr,.,5.9,552,1960
Faust,Drama- Fantasy,PeterGorski,GustafGründgens,WillQuadflieg,GustafGründgens,EllaBüchi,ElisabethFlickenschildt,.,7.2,551,1960
Song Without End,Biography- Drama- Music,CharlesVidor,GeorgeCukor,DirkBogarde,Capucine,GenevièvePage,PatriciaMorison,.,5.9,550,1960
Das schwarze Schaf,Comedy- Crime,HelmuthAshley,.,HeinzRühmann,KarlSchönböck,MariaSebaldt,SiegfriedLowitz,.,6.8,547,1960
David and Goliath,Action- Drama- Family,FerdinandoBaldi,RichardPottier,OrsonWelles,IvicaPajer,EleonoraRossiDrago,MassimoSerato,.,4.9,543,1960
Love and Larceny,Comedy,DinoRisi,.,VittorioGassman,DorianGray,AnnaMariaFerrero,MarioCarotenuto,.,7.2,543,1960
The Angel Wore Red,Action- Drama- War,NunnallyJohnson,.,AvaGardner,DirkBogarde,JosephCotten,VittorioDeSica,.,5.7,539,1960
Esther and the King,Biography- Drama- History,RaoulWalsh,MarioBava,JoanCollins,RichardEgan,DenisO'Dea,SergioFantoni,.,5.5,537,1960
